name,province,lat,lng
中航大学,北京市,40.470798,116.907518
十里堡中学,北京市,40.355839,116.793589
密云二中,北京市,40.38556,116.853885
密云区第一中学,北京市,40.378128,116.826534
密云第二小学,北京市,40.377897,116.853728
密云区第四小学,北京市,40.38853,116.868288
密云巨各庄中学,北京市,40.382246,116.949634
果园小学,北京市,40.378804,116.837796
密云区北庄中学,北京市,40.515623,117.189195
河南寨中学,北京市,40.333861,116.827988
天津商务职业学院(六纬路校区),天津市,39.11632,117.239901
天津音乐学院(南校区),天津市,39.123098,117.238067
天津市第一商业学校,天津市,39.104506,117.288662
天津第一百零二中学,天津市,39.145248,117.252308
天津七中,天津市,39.134994,117.244949
天津市第四十五中学,天津市,39.109761,117.27754
天津铁道职业技术学院(河东校区),天津市,39.117486,117.257798
天津市河东区翔宇小学,天津市,39.132559,117.229375
天津市求真高级中学,天津市,39.154443,117.239105
天津市河东实验小学,天津市,39.140521,117.240236
天津财经大学,天津市,39.066967,117.284789
天津外国语大学,天津市,39.114374,117.216346
天津科技大学(河西校区),天津市,39.075509,117.278956
新华中学,天津市,39.116881,117.218594
天津实验中学,天津市,39.103527,117.198152
天津小学,天津市,39.091881,117.251581
天津医科大学(广东路校区),天津市,39.117406,117.220402
天津市第四十二中学,天津市,39.101716,117.232301
天津市第四中学,天津市,39.0879,117.236348
上海道小学(广东路),天津市,39.113846,117.220791
北京科技职业学院(八达岭校区),北京市,40.423339,116.027287
延庆区第一中学,北京市,40.472587,115.982956
北京人文大学(康庄校区),北京市,40.378351,115.898594
延庆区下屯中学,北京市,40.438945,115.961381
北京市第二外国语学院贯培学院,北京市,40.460992,116.003212
延庆区第八中学,北京市,40.481504,116.014741
延庆区第二小学,北京市,40.470292,115.987747
北京邮电大学(世纪学院),北京市,40.377471,115.89997
延庆区第三中学,北京市,40.476653,115.997368
延庆区第三小学,北京市,40.467797,115.997101
南开大学(八里台校区),天津市,39.109442,117.17546
天津大学,天津市,39.116464,117.180115
天津市南开中学,天津市,39.13527,117.177707
中营小学,天津市,39.148848,117.183216
南开大学附属中学,天津市,39.119205,117.160904
天津社会科学院,天津市,39.097731,117.159899
天津市二十五中学(青年路),天津市,39.137952,117.164252
崇化中学,天津市,39.149086,117.185172
南开区义兴里小学,天津市,39.126574,117.172351
天津美术学院,天津市,39.158861,117.200537
天津二中,天津市,39.159553,117.216686
天津市第十四中学,天津市,39.171119,117.226993
天津市第一轻工业学校,天津市,39.190179,117.189256
天津市河北区中心小学,天津市,39.167297,117.202089
天津市第七十八中学,天津市,39.163945,117.239047
育婴里小学(曙光路),天津市,39.163564,117.195769
天津市第三十五中学,天津市,39.19274,117.187412
天津美术学院(北校区),天津市,39.18924,117.223776
天津外国语学校,天津市,39.175746,117.203131
河北工业大学(红桥校区),天津市,39.184707,117.17297
天津市红桥区实验小学,天津市,39.185322,117.161908
天津市第三中学,天津市,39.190067,117.163668
天津市民族中学,天津市,39.159531,117.155467
天津惠灵顿国际学校,天津市,39.154426,117.180752
天津市五中(新校区),天津市,39.174214,117.138097
河北工业大学南院,天津市,39.179891,117.177476
天津市复兴中学,天津市,39.155537,117.1724
天津市泰达实验中学,天津市,39.159655,117.181428
天津师范学校附属小学,天津市,39.170895,117.137296
中国民航大学,天津市,39.11428,117.360129
天津生物工程职业技术学院,天津市,39.080591,117.548562
天津八中,天津市,39.154781,117.291081
天津市第一百中学,天津市,39.08057,117.342874
中国民航大学南院校门口,天津市,39.114178,117.361219
天津耀华滨海学校,天津市,39.110264,117.311656
天津市第一中学滨海学校,天津市,39.160397,117.435881
北大附中天津东丽湖学校,天津市,39.187798,117.501461
华侨城实验学校,天津市,39.200236,117.472276
天津工业大学,天津市,39.073258,117.117765
天津城建大学,天津市,39.101033,117.101884
天津师范大学,天津市,39.069342,117.132025
天津农学院,天津市,39.098285,117.107553
